"ACCENUMB"	"bio_15"	"bio_4"	"bio_3"	"bio_5"	"bio_6"	"bio_12"	"bio_16"	"bio_18"	"bio_19"	"bio_17"	"bio_13"	"bio_14"	"bio_2"	"bio_7"	"bio_1"	"bio_8"	"bio_10"	"bio_11"	"bio_9"
"1893746665"	76.120002746582	2648.67993164062	60.7999992370605	286.959991455078	67.0400009155273	2105.23999023438	1055.9599609375	594.919982910156	166.559997558594	158.320007324219	484.399993896484	50.2799987792969	135	219.919998168945	180.240005493164	199.360000610352	207.800003051758	142.559997558594	153.520004272461
"1893746666"	112.222221374512	759.555541992188	80.5555572509766	348	214	1026	653.777770996094	411	15.222222328186	6	274.666656494141	0	108.555557250977	134	284.888885498047	290.777770996094	293.777770996094	274.666656494141	278.111114501953
"1893746667"	105.720001220703	1756.19995117188	64.9599990844727	374.279998779297	149.679992675781	851.239990234375	532	197.880004882812	25.3600006103516	11.0799999237061	184.440002441406	3	146.479995727539	224.600006103516	259.679992675781	263.799987792969	283.399993896484	235.600006103516	261.359985351562
"1893746670"	81.8399963378906	2491.80004882812	63.2000007629395	284.320007324219	63.3600006103516	1441.11999511719	751.039978027344	358.880004882812	105.959999084473	93.6800003051758	348.440002441406	27.6000003814697	140.919998168945	220.960006713867	175.039993286133	192.080001831055	201.639999389648	139.880004882812	151.440002441406
"1893746671"	85.6399993896484	3598.28002929688	54.1599998474121	349.519989013672	116.919998168945	1730.59997558594	913.840026855469	649.52001953125	107.199996948242	103.839996337891	416.799987792969	32.2799987792969	127.080001831055	232.600006103516	241.679992675781	270.880004882812	278.399993896484	190.479995727539	205.039993286133
"1893746674"	82.9199981689453	2798.84008789062	61.7200012207031	308.160003662109	77.9199981689453	1505.88000488281	785.679992675781	520.960021972656	104.720001220703	91.1600036621094	365.440002441406	27.7600002288818	143.119995117188	230.240005493164	196.600006103516	217.440002441406	225.919998168945	156.960006713867	169.479995727539
"1893746675"	85.8000030517578	3054.84008789062	60.2000007629395	329.480010986328	88.3600006103516	1190.83996582031	631.280029296875	449.399993896484	66.2799987792969	58.439998626709	280.720001220703	17.8799991607666	146.240005493164	241.119995117188	213.080001831055	235.559997558594	245.199996948242	170.160003662109	184.440002441406
"1893746676"	72.7600021362305	3453	59.5200004577637	310.880004882812	62.5999984741211	633.47998046875	293	254.880004882812	48.4000015258789	48.4000015258789	136.800003051758	13.1999998092651	149.119995117188	248.279998779297	195.360000610352	227.119995117188	234.679992675781	147.800003051758	149
"1893746677"	65.3600006103516	2143.19995117188	58.5999984741211	273.679992675781	108.120002746582	1559.76000976562	682.919982910156	455.760009765625	161.479995727539	156.520004272461	281.040008544922	50.6399993896484	97.7600021362305	165.559997558594	191.199996948242	208.119995117188	213.479995727539	160.720001220703	167.759994506836
"1893746678"	108.76000213623	846.799987792969	80.6800003051758	346.600006103516	183.199996948242	535.47998046875	328.040008544922	309.799987792969	8.52000045776367	8.35999965667725	145.679992675781	1.24000000953674	132.600006103516	163.399993896484	270.399993896484	278.640014648438	278.679992675781	258.920013427734	259.600006103516
